invoice,date,idReservation,paymentMethod,totalPayment,extrasMethod,extrasPayment,totalReservation
216-2025,01 Mar 2025,BDC-4970003267,Online travel agency,1147.5,,,1147.5
217-2025,01 Mar 2025,BDC-4884115210,Online travel agency,740,,,740
218-2025,02 Mar 2025,BDC-4499549125,Online travel agency,751.68,,,751.68
219-2025,02 Mar 2025,BDC-4972005523,Online travel agency,958.5,,,958.5
220-2025,02 Mar 2025,BDC-4761365552,Online travel agency,448.2,,,448.2
221-2025,02 Mar 2025,BDC-4445888241,Visa,50,Online travel agency,507.87,557.87
222-2025,02 Mar 2025,BDC-4660152642,Visa,7.2,Online travel agency,463.14,470.34
223-2025,02 Mar 2025,BDC-4698446102,Online travel agency,681.3,,,681.3
224-2025,02 Mar 2025,BDC-4312032801,Online travel agency,332.59,,,332.59
225-2025,02 Mar 2025,BDC-4359085317,Online travel agency,385.2,,,385.2
227-2025,03 Mar 2025,BDC-4517369226,Online travel agency,1905.3,,,1905.3
228-2025,03 Mar 2025,BDC-4712108087,Online travel agency,1076.4,,,1076.4
243-2025,08 Mar 2025,BDC-4310009496,Online travel agency,774.36,,,774.36
244-2025,08 Mar 2025,BDC-4655310448,Online travel agency,1166,,,1166
245-2025,08 Mar 2025,GCC-0816901221-169,Visa,595,,,595
246-2025,08 Mar 2025,LH25030846597038,Mastercard,242.19,,,242.19
247-2025,09 Mar 2025,BDC-4502643502,Online travel agency,215.1,,,215.1
248-2025,09 Mar 2025,BDC-4545735322,Visa,7,,,1931.2
249-2025,09 Mar 2025,GCC-0816901258-169,Mastercard,1372.44,,,1372.44
250-2025,09 Mar 2025,EXP-X-415974750,Mastercard,954.2,,,954.2
251-2025,09 Mar 2025,BDC-4405874974,Online travel agency,564.57,,,564.57
252-2025,09 Mar 2025,GCC-0816901232-169,Mastercard,588.68,,,590.68
253-2025,10 Mar 2025,BDC-4437408042,Online travel agency,605.07,,,605.07
254-2025,10 Mar 2025,BDC-4686137530,Online travel agency,834.3,Maestro,15,849.3
255-2025,10 Mar 2025,BDC-4582815530,Online travel agency,556.47,American Express,10,566.47
256-2025,10 Mar 2025,BDC-4818577806,Online travel agency,969.3,Mastercard,28,997.3
257-2025,10 Mar 2025,GCC-0816901261-169,Visa,490.74,,,490.74
258-2025,11 Mar 2025,GCC-0816901182-169,Visa,833.6,,,833.6
259-2025,11 Mar 2025,GCC-0816901262-169,Visa,182.84,,,182.84
260-2025,11 Mar 2025,GCC-0816901263-169,Visa,147.83,,,147.83
261-2025,11 Mar 2025,BDC-4824017909,Online travel agency,427.68,Mastercard,9.8,437.48
262-2025,12 Mar 2025,BDC-4795894871,Online travel agency,479.67,,,479.67
263-2025,12 Mar 2025,BDC-4773800414,Online travel agency,479.67,,,479.67
264-2025,12 Mar 2025,GCC-0816901264-169,Mastercard,268.66,,,268.66
265-2025,12 Mar 2025,GCC-0816901191-169,Visa,473.85,,,473.85
266-2025,12 Mar 2025,GCC-0816901192-169,Visa,405.3,,,405.3
267-2025,12 Mar 2025,GCC-0816901265-169,Visa,363.16,,,363.16
268-2025,12 Mar 2025,LH25031246691692,Visa,188.32,,,188.32
269-2025,13 Mar 2025,BDC-4945650939,Online travel agency,795.6,,,795.6
270-2025,14 Mar 2025,BDC-4440838554,Online travel agency,670.16,,,670.16
271-2025,15 Mar 2025,BDC-4764725615,Online travel agency,580.77,,,580.77
272-2025,15 Mar 2025,BDC-4569461570,Online travel agency,1766.7,,,1766.7
273-2025,15 Mar 2025,BDC-4309178794,Online travel agency,556.47,,,556.47
274-2025,15 Mar 2025,LH25031246682714,Visa,191,,,191
275-2025,16 Mar 2025,BDC-4540911789,Online travel agency,870.08,,,870.08
276-2025,16 Mar 2025,BDC-4748305428,Online travel agency,380.96,,,380.96
277-2025,16 Mar 2025,N/A,Visa,475.56,,,475.56
278-2025,16 Mar 2025,LH25020345872395,Visa,685.5,,,685.5
279-2025,16 Mar 2025,GCC-0816901274-169,Mastercard,572.23,,,572.23
280-2025,17 Mar 2025,BDC-4360390166,Online travel agency,556.47,,,556.47
281-2025,17 Mar 2025,BDC-4846264731,Online travel agency,198.14,,,198.14
282-2025,17 Mar 2025,BDC-4669657254,Online travel agency,799.34,,,799.34
283-2025,17 Mar 2025,BDC-4868252018,Online travel agency,403.2,,,403.2
284-2025,17 Mar 2025,LH24122845111525,Mastercard,802.95,,,802.95
285-2025,17 Mar 2025,EXP-X-401836743,Mastercard,362.62,,,362.62
286-2025,18 Mar 2025,BDC-4649904626,Visa,12,,,1236
287-2025,18 Mar 2025,BDC-4860839490,Online travel agency,175.19,,,175.19
288-2025,18 Mar 2025,BDC-4757872145,Online travel agency,1757.7,,,1757.7
289-2025,18 Mar 2025,GCC-0816901279-169,Visa,573.75,,,573.75
290-2025,18 Mar 2025,GCC-0816901281-169,Visa,549.28,,,549.28
291-2025,19 Mar 2025,BDC-4531633714,Online travel agency,927.45,,,927.45
292-2025,20 Mar 2025,BDC-4468804312,Online travel agency,435.78,,,435.78
293-2025,20 Mar 2025,BDC-4881611092,Online travel agency,423.3,,,423.3
294-2025,20 Mar 2025,BDC-4950439239,Mastercard,22,Online travel agency,1360,1382
295-2025,20 Mar 2025,EXP-X-338884316,Mastercard,686.37,,,686.37
296-2025,21 Mar 2025,N/A,Mastercard,972.32,,,972.32
297-2025,21 Mar 2025,BDC-4911815509,Visa,54,,,1344.6
298-2025,21 Mar 2025,BDC-4352356440,Online travel agency,792.56,,,792.56
299-2025,21 Mar 2025,BDC-4615122610,Online travel agency,621.27,,,621.27
300-2025,22 Mar 2025,GCC-0816901289-169,Visa,1883,,,1883
301-2025,22 Mar 2025,EXP-X-424289739,American Express,538.2,,,538.2
302-2025,22 Mar 2025,BDC-4399357927,Online travel agency,1419.93,,,1419.93
303-2025,24 Mar 2025,BDC-4306520765,Mastercard,30,Online travel agency,637.47,667.47
304-2025,24 Mar 2025,BDC-4390843827,Online travel agency,451.98,,,451.98
305-2025,24 Mar 2025,BDC-4791953243,Online travel agency,996.3,,,996.3
306-2025,24 Mar 2025,GCC-0816901178-169,American Express,677.45,,,677.45
307-2025,24 Mar 2025,BDC-4878871610,Online travel agency,883.5,,,883.5
308-2025,24 Mar 2025,EXP-X-404822041,Mastercard,1173.43,,,1173.43
309-2025,24 Mar 2025,BDC-4511639293,Online travel agency,621.27,,,621.27
310-2025,24 Mar 2025,BDC-4454529632,Online travel agency,621,,,621
311-2025,24 Mar 2025,BDC-4731222962,Online travel agency,927.45,,,927.45
312-2025,24 Mar 2025,BDC-4366662057,Online travel agency,646,,,646
316-2025,24 Mar 2025,LH25032246910122,Visa,575.55,,,575.55
317-2025,25 Mar 2025,BDC-4894597009,Online travel agency,419.58,,,419.58
318-2025,25 Mar 2025,BDC-4417455976,Online travel agency,1227.6,,,1227.6
319-2025,25 Mar 2025,BDC-4674796710,Online travel agency,460.08,,,460.08
320-2025,25 Mar 2025,LH24111744427737,Mastercard,861.45,,,861.45
321-2025,25 Mar 2025,N/A,Mastercard,204.52,,,204.52
322-2025,26 Mar 2025,BDC-4738116501,Online travel agency,335.08,,,335.08
323-2025,26 Mar 2025,N/A,Mastercard,388.7,,,388.7
324-2025,26 Mar 2025,BDC-4860844896,Online travel agency,335.08,,,335.08
325-2025,26 Mar 2025,BDC-4496396652,Online travel agency,543.15,,,543.15
327-2025,27 Mar 2025,BDC-4934825104,Online travel agency,502.62,,,502.62
328-2025,27 Mar 2025,BDC-4753436152,Online travel agency,741.96,,,741.96
329-2025,27 Mar 2025,LH25032747013875,BACS,303.75,,,303.75
330-2025,28 Mar 2025,BDC-4435973145,Visa,13,Online travel agency,798.07,811.07
331-2025,28 Mar 2025,BDC-4891729215,Mastercard,16,Online travel agency,556.47,572.47
332-2025,28 Mar 2025,BDC-4353577418,Online travel agency,1040.4,,,1040.4
333-2025,29 Mar 2025,BDC-4401435630,Online travel agency,718.47,,,718.47
334-2025,29 Mar 2025,BDC-4566204160,Online travel agency,1315.86,,,1315.86
335-2025,29 Mar 2025,BDC-4750746734,Online travel agency,968.76,,,968.76
336-2025,29 Mar 2025,BDC-4845391487,Online travel agency,2850,,,2850
337-2025,29 Mar 2025,BDC-4928000443,Online travel agency,807.3,,,807.3
338-2025,29 Mar 2025,BDC-4862089030,Online travel agency,538.2,Visa,8,546.2
339-2025,30 Mar 2025,EXP-X-338395125,Visa,500.82,,,500.82
340-2025,30 Mar 2025,LH25030146451301,Visa,231.75,,,231.75
341-2025,30 Mar 2025,BDC-4881399364,Online travel agency,999,,,999
342-2025,30 Mar 2025,LH25030146451439,Visa,261.38,,,261.38
343-2025,30 Mar 2025,BDC-4390158944,Visa,16,Online travel agency,233.1,252.7
344-2025,30 Mar 2025,BDC-4381633306,Online travel agency,1811.7,,,1811.7
345-2025,30 Mar 2025,BDC-4410875815,Visa,5,Online travel agency,476.28,481.28
346-2025,30 Mar 2025,LH24120344722134,Visa,695.25,,,695.25
347-2025,31 Mar 2025,BDC-4404479042,Mastercard,7,Online travel agency,412.2,419.2
348-2025,31 Mar 2025,BDC-4749689244,Online travel agency,945.81,,,945.81
349-2025,31 Mar 2025,BDC-4697484696,Online travel agency,638,,,638
350-2025,01 Apr 2025,BDC-4422500153,Online travel agency,927.45,,,927.45
351-2025,01 Apr 2025,BDC-4618685768,Online travel agency,927.45,,,927.45
352-2025,01 Apr 2025,BDC-4574277855,Online travel agency,1112.4,,,1112.4
353-2025,02 Apr 2025,BDC-4769104426,Online travel agency,269.1,,,269.1
354-2025,02 Apr 2025,BDC-4947693237,Online travel agency,897.3,,,897.3
356-2025,02 Apr 2025,LH25011745516519,Mastercard,335.64,,,335.64
